Rank,Modelo,R²,MAE ($),RMSE ($),WMAPE (%),Tempo (s)
1,Random Forest,0.14197917982240005,1896.763374012492,2954.9026252652507,62.42237659298283,1.3456017971038818
2,Random Forest + Deductible,0.13327996518156937,1907.4625474437023,2969.844282352976,62.77448579242599,1.4944789409637451
3,Deep Learning,0.09924099670325293,1766.0020616608433,3027.6004881032145,58.119029114198426,10.587589979171753
4,Gradient Boosting,0.09571033576498045,1921.4002801721392,3033.528253748556,63.23317579727691,6.479413747787476
